Estacao;Tmax_C;Tmin_C;Umidade_relativa;LAT;LONG
A369;33,98536360108932;22,299846581064383;70,55867266476025;-3,732222;-41,011944
A370;33,78351562377017;21,99374852420307;59,0285191333475;-4,978889;-39,057222
A371;33,63070147560309;22,324697962234392;67,2024034388751;-8,058056;-39,096111
A372;35,0046849132238;21,524932020794026;67,47517564574801;-9,622222;-37,767222
A373;34,24428833675337;22,421040787498967;61,66112911484029;-5,535;-36,872222
A374;33,17642645893115;19,87616542852917;67,08990812054846;-7,318333;-38,140833
A375;32,71953119852931;21,314148408911795;63,07119230898121;-10,429167;-45,173056
A376;34,871579906315624;22,777626234159747;63,08665286269078;-8,333531;-45,094625
A377;35,17078685140634;21,106376266001366;61,83252675300647;-4,864167;-42,145556
A401;29,74815183017097;23,55120989024667;76,4015708425155;-6,089444;-42,7275
A402;32,568705141143326;19,529945853057313;63,32622532533079;-13,005515;-38,50576
A404;30,827626025685785;17,45101120366827;64,41579072867968;-12,124722;-45,026944
A405;29,01343360871473;21,345054615322525;79,74485240667929;-12,1525;-45,829722
A406;29,572039264069645;20,770953157590377;78,4981682075422;-17,739444;-39,258611
A407;27,291280844432162;17,27893676768459;80,63210332246723;-12,675556;-39,089444
A408;31,862097633860817;21,184744173286226;72,29920111095282;-13,527778;-40,119722
A409;29,885663793803474;24,093956793420414;72,15301387852291;-12,524167;-40,299722
A410;28,40799883784079;20,308078207946625;83,61034233403858;-10,9525;-37,054444
A412;31,18838004135958;20,174395022222974;71,05205467101514;-14,658889;-39,181389
A413;30,835035515894013;20,26439495688268;74,36340820854744;-12,131667;-40,354167
A414;26,77614622285252;16,084055007145185;79,27369274986512;-12,196111;-38,9675
A415;33,699886345567776;19,51268095882509;58,69976627288272;-14,886389;-40,801389
A416;32,61491810266724;18,085742408145794;69,63240324899125;-11,003333;-44,536389
A417;30,04435169125768;21,146277546118643;76,79476522994413;-13,3325;-44,6175
A418;33,51898303875053;20,906353778557236;56,35424902744798;-11,2725;-37,795
A419;31,174844973683538;20,25325730887824;74,40102440941216;-13,251111;-43,405278
A420;31,078807143263035;20,430843372183094;76,53814008788517;-10,738056;-38,108333
A421;30,771622682168807;22,804300374679435;78,0177830482848;-10,399722;-37,7475
A422;27,57327437328858;24,11392886182875;77,50138976846829;-10,473889;-36,481944
A423;32,438547090739775;22,813250759618796;54,23906069110228;-17,963056;-38,703333
A424;30,64847254195719;18,341576713566894;62,170881533926256;-9,625556;-42,077222
A425;30,7500613572913;20,435676180639543;70,81167849843015;-11,328998;-41,864504
A426;31,671922861195284;21,03622530640115;53,276996455513576;-12,557778;-41,388889
A427;28,548729691755334;19,448266904348138;84,3673801591699;-14,208056;-42,749722
A428;30,078877822632737;19,614221347282662;68,09258709098222;-16,388889;-39,1825
A429;34,24733684101558;20,859729588992174;56,76477209479409;-10,443056;-40,148333
A430;24,90813002010621;15,496151580012752;69,2539436913631;-11,084722;-43,138889
A431;29,674713685983935;22,551227166260574;81,13355276481143;-13,155681;-41,774125
A432;33,230334183984;20,3316568052918;57,27869352018955;-12,035833;-37,683889
A433;31,790098505266997;19,655111651172994;61,50449218168938;-10,723056;-43,651111
A434;28,605014434029062;19,82178236916169;78,85017549736413;-14,181944;-41,672222
A436;32,378996914613275;20,98397247927011;65,33296996703086;-13,009444;-39,616944
A437;28,92613733546496;20,78770377974995;83,59355579140993;-10,984722;-39,616944
A438;29,285196573476664;22,59426798567387;73,17942159321288;-15,280278;-39,091389
A439;34,50553395067343;20,851171227111163;53,91201762689602;-13,906944;-38,972222
A440;30,949369775305506;19,584229919895048;67,64070733551976;-12,193056;-43,213333
A441;30,742567645588068;20,222475972541815;74,28723257906374;-11,205;-40,465
A442;31,368227842542257;20,0932390037763;69,75124937059141;-11,664722;-39,023056
A443;30,657892033998703;18,49143351000628;59,612602973774216;-10,537233;-38,996605
A444;29,31511152987101;19,989089739471975;83,81785920536251;-10,455;-41,206944
A445;30,45198612054897;19,576134276401707;78,92154610991815;-13,343611;-39,126667
A446;30,74008036147519;19,81183270663221;72,95677995797158;-14,171389;-39,6925
A447;29,520225891307952;19,255597107646444;83,00374012816687;-15,244722;-40,229444
A448;34,052477990663434;22,25507428767804;50,33794203723067;-16,088056;-39,215278
A449;34,0030184849705;21,61435213901471;56,530366360728564;-9,001389;-39,9125
A450;32,57672871142619;21,64504344688985;64,97021135855555;-10,018333;-42,500278
A451;31,107784474481758;21,353202062390395;79,65735843724116;-10,080833;-38,345833
A452;33,723097891987294;18,44892480626064;70,65936478976215;-10,671667;-37,471389
A453;31,488064564724624;21,333186123018415;77,83779300410811;-11,052222;-45,200833
A455;29,508529011036803;20,14519263629786;84,1628110062987;-10,207778;-37,431944
A456;30,291517660796654;22,470687806600914;85,7696339238084;-17,006944;-39,558056
A458;32,748639674377;20,786713630003646;74,02687043398525;-12,808333;-38,495833
